Team,Team Rank,New Rank 90/10,New Rank 80/20,New Rank 70/30,New Rank 60/40,NQS,Wins,Losses,Home Meets,Away Meets,Total Competitions,Win Percentage,Adjusted Win Percentage,Scoring Margin,Team Value Index,Team Efficiency
Southern Utah,21,18,16,16,16,196.82,17,5,9,5,22,0.77,1.34,20.62500000000003,4.072727272727272,3.0475000000000017
Western Michigan,26,20,19,17,17,196.59,14,7,5,7,21,0.67,1.02,28.525000000000034,5.114285714285714,3.0483333333333347
Ball State,34,28,21,20,18,196.395,21,7,6,7,28,0.75,1.35,25.724999999999966,7.85,3.018749999999999
Missouri,14,16,17,18,19,197.115,12,8,7,5,20,0.6,0.72,8.949999999999903,4.09,1.767499999999995
San Jose State,37,33,27,21,20,196.215,14,4,5,7,18,0.78,1.43,15.900000000000063,9.744444444444445,3.093333333333337
North Carolina,35,32,24,22,21,196.295,20,8,6,6,28,0.71,1.2,26.54999999999984,6.785714285714286,2.85821428571428
Central Michigan,38,36,29,24,22,196.165,13,4,3,7,17,0.76,1.43,12.775000000000006,6.188235294117646,2.9414705882352945
North Carolina State,30,29,26,26,23,196.46,18,9,7,7,27,0.67,1.0,12.97500000000008,4.785185185185185,2.1505555555555587
Auburn,12,13,15,19,24,197.48,9,10,5,4,19,0.47,0.2,-1.8250000000001023,1.0105263157894737,0.5739473684210472
UC Davis,39,37,34,29,25,196.145,14,8,4,8,22,0.64,0.93,20.025000000000063,6.327272727272727,2.4802272727272756
Nebraska,23,22,22,25,26,196.73,13,13,10,5,26,0.5,0.32,20.075000000000102,3.823076923076923,1.5921153846153886
Arizona State,15,17,20,23,27,197.105,10,10,6,4,20,0.5,0.31,0.4000000000000057,1.5499999999999998,0.8300000000000003
